"dats 24 heverlee" 17-05-2015 19:13:36 42.20L 48.53 1.150/L 165214km
"dats 24 heverlee" 19-03-2015 19:10:14 41.72L 45.98 1.102/L 161428km
"gulf landen" 30-03-2015 8:40 162111km 20.42 17.93L 1.139/L
"gulf landen" 02-04-2015 17:00:46 18.01 15.95L 1.129/L 162371km
"gulf landen" 07-04-2015 19:05:40 5.00L 1.129/L 5.65 162604km
"gulf landen" 08-04-2015 17:29:07 12.04L 13.59 1.129/L 162685km
"dats 24 heverlee" 10-04-2015 17:38:55 48.64L 53.99 1.110/L 162910km
"dats 24 heverlee" 23-04-2015 17:28:44 44.34L 51.17 1.154/L 163634km
"total heverlee" 4-05-2015 8:06 164358km 10.07L 1.297/L 13.06
"dats 24 heverlee" 07-06-2015 21:20:13 43.77L 50.90 1.163/L 166606km
"dats 24 heverlee" 27-05-2015 18:34:25 45.20L 52.75 1.167/L 165931km
"gulf landen" 05-05-2015 17:52:41 45.87L 53.62 1.169/L 164485km
"dats 24 heverlee" 26-06-2015 18:52:17 47.36L 53.66 1.133/L 168100km
"gulf landen" 15-07-2015 9:10 53.19 47.96L 1.109/L 169598km
